CaseID,StartTimestamp,Activity,People
7076,2021-01-04 13:28:55,CreateBranch,AlbumenJ
7076,2021-01-08 07:40:57,DeleteBranch,AlbumenJ
7076,2021-01-04 14:15:16,SubmitCommit,AlbumenJ
7076,2021-01-04 14:30:07,SubmitCommit,AlbumenJ
7076,2021-01-07 08:12:25,SubmitCommit,AlbumenJ
7076,2021-01-07 09:32:51,SubmitCommit,chickenlj
7076,2021-01-04 14:16:33,OpenPR,AlbumenJ
7076,2021-01-07 09:35:54,MergePR,chickenlj
7077,2021-01-04 08:03:37,CreateBranch,zhangyz-hd
7077,2021-02-19 05:42:36,DeleteBranch,zhangyz-hd
7077,2021-01-04 08:08:58,SubmitCommit,zhangyz-hd
7077,2021-01-04 08:13:42,SubmitCommit,zhangyz-hd
7077,2021-01-04 08:25:50,SubmitCommit,zhangyz-hd
7077,2021-01-28 14:23:21,SubmitCommit,zhangyz-hd
7077,2021-01-05 01:27:21,OpenPR,zhangyz-hd
7077,2021-01-29 14:58:07,PRReviewComment,AlbumenJ
7077,2021-01-29 14:58:06,PRReviewComment,AlbumenJ
7077,2021-01-31 01:42:49,PRReviewComment,zhangyz-hd
7077,2021-01-31 01:42:49,PRReviewComment,zhangyz-hd
7077,2021-02-01 15:13:08,PRReviewComment,AlbumenJ
7077,2021-02-01 15:13:07,PRReviewComment,AlbumenJ
7077,2021-02-01 15:13:23,PRReviewApprove,AlbumenJ
7077,2021-02-02 06:49:49,PRReviewApprove,chickenlj
7077,2021-02-02 06:49:59,MergePR,chickenlj
7078,2021-01-05 03:18:10,CreateBranch,AlbumenJ
7078,2021-01-21 13:47:12,DeleteBranch,AlbumenJ
7078,2021-01-05 03:19:46,SubmitCommit,AlbumenJ
7078,2021-01-05 03:22:29,SubmitCommit,AlbumenJ
7078,2021-01-05 04:23:00,SubmitCommit,AlbumenJ
7078,2021-01-05 04:28:29,SubmitCommit,AlbumenJ
7078,2021-01-05 04:36:34,SubmitCommit,AlbumenJ
7078,2021-01-05 04:46:44,SubmitCommit,AlbumenJ
7078,2021-01-16 07:03:31,SubmitCommit,AlbumenJ
7078,2021-01-16 08:55:54,SubmitCommit,AlbumenJ
7078,2021-01-18 11:22:31,SubmitCommit,AlbumenJ
7078,2021-01-05 03:33:42,OpenPR,AlbumenJ
7078,2021-01-18 11:51:44,PRReviewApprove,kylixs
7078,2021-01-21 13:46:35,MergePR,AlbumenJ
7080,2021-01-05 10:52:17,ForkRepository,alan-tang-tt
7080,2021-01-05 10:57:36,SubmitCommit,alan-tang-tt
7080,2021-01-05 11:02:31,OpenPR,alan-tang-tt
7080,2021-01-07 05:17:39,PRReviewApprove,ralf0131
7080,2021-01-07 05:17:47,MergePR,ralf0131
7082,2021-01-06 07:52:14,CreateBranch,horizonzy
7082,2021-01-26 08:09:49,SubmitCommit,horizonzy
7082,2021-01-26 08:14:07,SubmitCommit,horizonzy
7082,2021-03-06 09:16:41,SubmitCommit,horizonzy
7082,2021-03-23 05:25:36,SubmitCommit,horizonzy
7082,2021-01-06 07:53:27,OpenPR,horizonzy
7082,2021-03-23 05:16:31,PRReviewReject,AlbumenJ
7082,2021-03-23 05:16:31,PRReviewReject,AlbumenJ
7082,2021-03-23 05:16:28,PRReviewComment,AlbumenJ
7082,2021-03-23 06:10:54,PRReviewComment,horizonzy
7082,2021-03-23 06:10:54,PRReviewComment,horizonzy
7082,2021-03-24 07:08:17,PRReviewApprove,AlbumenJ
7082,2021-03-24 07:08:35,MergePR,AlbumenJ
7083,2021-01-06 08:43:35,SubmitCommit,thisiswanghy
7083,2021-01-06 08:49:58,OpenPR,thisiswanghy
7083,2021-02-22 08:14:23,PRReviewApprove,chickenlj
7083,2021-02-22 08:14:44,MergePR,chickenlj
7086,2021-01-07 08:35:41,OpenPR,chickenlj
7086,2021-01-07 08:39:08,MergePR,chickenlj
7087,2021-01-04 09:42:40,SubmitCommit,guohao
7087,2021-01-04 11:38:20,SubmitCommit,guohao
7087,2021-01-05 07:46:05,SubmitCommit,guohao
7087,2021-01-07 07:09:45,SubmitCommit,guohao
7087,2021-01-07 09:03:05,SubmitCommit,guohao
7087,2021-01-07 13:44:22,SubmitCommit,guohao
7087,2021-01-12 02:51:32,SubmitCommit,panxiaojun233
7087,2021-01-13 12:33:29,SubmitCommit,guohao
7087,2021-01-13 13:01:40,SubmitCommit,guohao
7087,2021-01-14 08:18:42,SubmitCommit,guohao
7087,2021-01-14 16:01:14,SubmitCommit,guohao
7087,2021-01-15 05:48:18,SubmitCommit,guohao
7087,2021-01-15 07:41:01,SubmitCommit,guohao
7087,2021-01-15 08:32:40,SubmitCommit,guohao
7087,2021-01-15 09:54:43,SubmitCommit,panxiaojun233
7087,2021-01-16 06:11:03,SubmitCommit,panxiaojun233
7087,2021-01-16 08:33:21,SubmitCommit,guohao
7087,2021-01-16 08:41:17,SubmitCommit,guohao
7087,2021-01-16 09:01:54,SubmitCommit,guohao
7087,2021-01-16 10:54:04,SubmitCommit,guohao
7087,2021-01-16 10:56:26,SubmitCommit,guohao
7087,2021-01-16 11:17:46,SubmitCommit,guohao
7087,2021-01-17 09:01:46,SubmitCommit,guohao
7087,2021-01-17 12:12:59,SubmitCommit,panxiaojun233
7087,2021-01-18 11:57:29,SubmitCommit,panxiaojun233
7087,2021-01-18 12:17:46,SubmitCommit,panxiaojun233
7087,2021-01-18 12:43:39,SubmitCommit,panxiaojun233
7087,2021-01-19 03:43:50,SubmitCommit,guohao
7087,2021-01-19 10:18:06,SubmitCommit,guohao
7087,2021-01-19 10:22:40,SubmitCommit,guohao
7087,2021-01-19 14:20:25,SubmitCommit,guohao
7087,2021-01-20 08:50:37,SubmitCommit,guohao
7087,2021-01-20 08:57:17,SubmitCommit,guohao
7087,2021-01-20 14:28:18,SubmitCommit,guohao
7087,2021-01-21 02:17:46,SubmitCommit,panxiaojun233
7087,2021-01-21 05:52:31,SubmitCommit,guohao
7087,2021-01-21 06:14:06,SubmitCommit,guohao
7087,2021-01-21 06:40:54,SubmitCommit,guohao
7087,2021-01-21 06:45:22,SubmitCommit,guohao
7087,2021-01-21 08:25:37,SubmitCommit,guohao
7087,2021-01-21 09:15:34,SubmitCommit,guohao
7087,2021-01-21 10:13:28,SubmitCommit,guohao
7087,2021-01-21 12:17:55,SubmitCommit,guohao
7087,2021-01-21 14:38:07,SubmitCommit,panxiaojun233
7087,2021-01-24 09:27:08,SubmitCommit,guohao
7087,2021-01-25 05:31:09,SubmitCommit,guohao
7087,2021-01-25 05:52:06,SubmitCommit,guohao
7087,2021-01-25 10:46:29,SubmitCommit,guohao
7087,2021-01-25 13:06:43,SubmitCommit,guohao
7087,2021-01-25 14:54:52,SubmitCommit,guohao
7087,2021-01-25 15:35:54,SubmitCommit,guohao
7087,2021-01-26 03:36:28,SubmitCommit,guohao
7087,2021-01-26 05:49:12,SubmitCommit,guohao
7087,2021-01-26 05:57:10,SubmitCommit,guohao
7087,2021-01-26 06:29:59,SubmitCommit,guohao
7087,2021-01-26 06:44:20,SubmitCommit,guohao
7087,2021-01-26 06:58:28,SubmitCommit,guohao
7087,2021-01-26 07:10:50,SubmitCommit,guohao
7087,2021-01-26 07:26:14,SubmitCommit,guohao
7087,2021-01-07 09:12:42,OpenPR,panxiaojun233
7087,2021-01-26 09:24:53,PRReviewApprove,chickenlj
7087,2021-01-26 09:25:12,MergePR,chickenlj
7090,2021-01-08 14:21:51,CreateBranch,horizonzy
7090,2021-03-01 06:35:00,SubmitCommit,horizonzy
7090,2021-03-01 07:00:42,SubmitCommit,horizonzy
7090,2021-01-08 14:22:39,OpenPR,horizonzy
7090,2021-03-02 02:40:45,PRReviewApprove,KeRan213539
7090,2021-03-02 05:12:57,PRReviewApprove,AlbumenJ
7090,2021-03-02 05:13:39,MergePR,AlbumenJ
7092,2021-01-09 06:20:04,CreateBranch,AlbumenJ
